주소,위도,경도,직선거리(m)
서울특별시 관악구 봉천동 861-6,37.481647491214,126.952161745612,1702.5
서울특별시 동작구 사당동 202-12,37.48797934851,126.965798515345,1206.9
서울특별시 관악구 봉천동 1606-1,37.476738084795,126.953463790451,2214.0
서울특별시 동작구 상도동 279-72,37.495349975068,126.93625071409,1852.8
서울특별시 동작구 사당동 154-12,37.484506809844,126.978082362087,2269.0
서울특별시 동작구 사당동 141-9,37.485801897704,126.979518601196,2295.7
서울특별시 관악구 봉천동 1679-2,37.479427627977,126.959294996671,1899.1
서울특별시 관악구 봉천동 1709-2,37.475711553113,126.962114668899,2343.7
서울특별시 동작구 사당동 193-6,37.488683386468,126.964307877684,1064.7
서울특별시 관악구 봉천동 1712,37.489767962829,126.950619810703,941.2
서울특별시 관악구 봉천동 1531-1,37.481686089878,126.938590187085,2320.5
서울특별시 동작구 사당동 202-3,37.487933876686,126.965270958359,1182.2
서울특별시 관악구 봉천동 713-39,37.492156637596,126.93108603681,2353.0
서울특별시 관악구 봉천동 195-29,37.475466717722,126.963217978814,2390.1
서울특별시 동작구 사당동 278-8,37.482056695727,126.971083389116,2012.9
서울특별시 동작구 사당동 319-14,37.482116710153,126.97525305067,2250.9
서울특별시 관악구 봉천동 858-6,37.481456635278,126.953534785171,1695.8
서울특별시 동작구 사당동 180-10,37.49255884322,126.968103957813,1053.1
서울특별시 관악구 봉천동 1730-2,37.477544214333,126.940600838019,2560.3
서울특별시 관악구 봉천동 879-12,37.47957192244,126.947945815952,2044.5
서울특별시 동작구 사당동 318-84,37.482278941889,126.974717866152,2204.8
서울특별시 동작구 상도동 414,37.507167997541,126.949774076673,1362.6
서울특별시 동작구 상도1동 560-1,37.505770440915,126.951668219153,1148.2
서울특별시 동작구 상도동 299-246,37.494374111991,126.932048530752,2231.3
서울특별시 관악구 봉천동 875-1,37.481278268379,126.950332898158,1790.2
서울특별시 관악구 봉천동 1717-1,37.489618387767,126.960314403735,805.1
서울특별시 관악구 봉천동 715-86,37.493202238108,126.929810311147,2443.5
서울특별시 관악구 봉천동 877-29,37.479818769488,126.949545334535,1966.5
서울특별시 관악구 봉천동 1580-3,37.476474641578,126.946379824982,2415.5
서울특별시 관악구 봉천동 41-770,37.484412722981,126.953393298645,1377.6
서울특별시 관악구 봉천동 30-8,37.483989730237,126.955961849054,1387.2
서울특별시 동작구 사당동 105,37.489639007249,126.975940031454,1816.8
서울특별시 동작구 상도동 487,37.497045717899,126.954481772592,250.2
서울특별시 관악구 봉천동 63-69,37.482883863842,126.955487265696,1513.5
서울특별시 관악구 봉천동 1687-30,37.47706053661,126.964942555393,2258.9
서울특별시 관악구 봉천동 457-210,37.486068232677,126.950390900928,1299.3
서울특별시 동작구 상도1동 263-1,37.500275642378,126.950825083512,707.3
서울특별시 관악구 봉천동 886-49,37.483336235156,126.948678478109,1638.6
서울특별시 동작구 사당동 91-158,37.48844425077,126.980280264737,2220.6
서울특별시 관악구 봉천동 196-126,37.474178377294,126.963060147577,2527.1
서울특별시 관악구 봉천동 1712-1,37.491650370644,126.948155782627,959.1
서울특별시 관악구 봉천동 854-4,37.480050571021,126.953423976411,1851.2
서울특별시 동작구 사당동 64-146,37.490330891446,126.980058144303,2126.8
서울특별시 관악구 봉천동 1701,37.477063637915,126.951889501397,2203.5
서울특별시 관악구 봉천동 41-36,37.487863259152,126.954118920003,990.4
서울특별시 관악구 봉천동 955-9,37.486451034195,126.936585403484,2130.9
서울특별시 동작구 상도동 7-112,37.50427925843,126.952959116061,950.3
서울특별시 관악구 봉천동 883-8,37.481212093253,126.948112951102,1872.4
서울특별시 관악구 봉천동 196-90,37.47352253528,126.963637073973,2609.2
서울특별시 관악구 봉천동 100-88,37.481976690461,126.958363012857,1609.9
서울특별시 관악구 봉천동 1-1124,37.49148277449,126.959306731336,580.0
서울특별시 관악구 봉천동 1599-5,37.479959040638,126.95361709546,1858.3
서울특별시 관악구 봉천동 866-6,37.47944636153,126.951348617185,1957.5
서울특별시 관악구 봉천동 1719,37.487204860657,126.950991129014,1162.8
서울특별시 관악구 봉천동 196-152,37.473412816168,126.962908099854,2607.9
서울특별시 관악구 봉천동 1612-53,37.478713783193,126.956839518136,1969.8
